Country,Cases,Deaths,Region
China,9782,213,Asia
Thailand,19,0,Asia
Japan,14,0,Asia
Singapore,13,0,Asia
Hong Kong,12,0,Asia
South Korea,11,0,Asia
Taiwan,9,0,Asia
Australia,9,0,Australia/Oceania
Malaysia,8,0,Asia
Macao,7,0,Asia
France,6,0,Europe
United States,6,0,North America
Germany,5,0,Europe
Vietnam,5,0,Asia
United Arab Emirates,4,0,Asia
Canada,3,0,North America
Italy,2,0,Europe
United Kingdom,2,0,Europe
India,1,0,Asia
Finland,1,0,Europe
Cambodia,1,0,Asia
Sri Lanka,1,0,Asia
Philippines,1,0,Asia
Nepal,1,0,Asia
