Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,78073,415,2715,52,30021,8745,Asia
S. Korea,1261,284,12,1,24,18,Asia
Diamond Princess,691,,4,,10,36,
Italy,374,51,12,1,2,19,Europe
Japan,172,11,2,1,23,13,Asia
Iran,139,44,19,3,25,,Asia
Singapore,93,2,,,58,7,Asia
Hong Kong,89,4,2,,18,6,Asia
USA,57,,,,6,,N.America
Thailand,40,3,,,22,2,Asia
Taiwan,32,1,1,,5,1,Asia
Bahrain,26,3,,,,,Asia
Kuwait,25,14,,,,,Asia
Australia,23,1,,,15,,Oceania
Malaysia,22,,,,20,,Asia
Germany,19,1,,,15,1,Europe
France,17,3,2,1,11,1,Europe
Vietnam,16,,,,16,,Asia
U.K.,13,,,,8,,Europe
U.A.E.,13,,,,3,2,Asia
Canada,12,1,,,3,,N.America
Spain,11,2,,,2,,Europe
Macao,10,,,,6,,Asia
Iraq,5,,,,,,Asia
Oman,4,,,,,,Asia
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Austria,2,,,,,,Europe
Croatia,2,1,,,,,Europe
Israel,2,,,,,,Asia
Russia,2,,,,2,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belgium,1,,,,1,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1,,Asia
Egypt,1,,,,1,,Africa
Finland,1,,,,1,,Europe
Greece,1,1,,,,,Europe
Lebanon,1,,,,,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Switzerland,1,,,,,,Europe
