Country/ Territory,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,70542,2042,1765,100,10728,11272,Asia
Japan,414,76,1,,17,9,Asia
Singapore,75,3,,,19,5,Asia
Hong Kong,57,1,1,,2,7,Asia
Thailand,34,,,,14,2,Asia
S. Korea,29,1,,,9,,Asia
Malaysia,22,,,,8,,Asia
Taiwan,20,2,1,1,2,,Asia
Germany,16,,,,3,,Europe
Vietnam,16,,,,7,,Asia
Australia,15,,,,10,,Oceania
USA,15,,,,3,,N.America
France,12,,1,,4,,Europe
Macao,10,,,,5,,Asia
U.A.E.,9,1,,,3,1,Asia
U.K.,9,,,,8,,Europe
Canada,8,,,,1,,N.America
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,3,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Egypt,1,,,,,,Africa
Cambodia,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Nepal,1,,,,1,,Asia
Belgium,1,,,,1,,Europe
Sri Lanka,1,,,,1,,Asia
Finland,1,,,,1,,Europe
