Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,76290,826,2345,109,20805,11477,Asia
Diamond Princess,634,,2,,17,27,
S. Korea,346,137,2,,17,9,Asia
Japan,110,1,1,,22,5,Asia
Singapore,86,,,,47,5,Asia
Hong Kong,69,,2,,6,6,Asia
Thailand,35,,,,19,2,Asia
USA *,35,,,,6,,N.America
Taiwan,26,,1,,2,1,Asia
Italy,22,1,1,,1,6,Europe
Malaysia,22,,,,17,,Asia
Australia,21,2,,,11,,Oceania
Iran,18,,4,,,,Asia
Germany,16,,,,14,,Europe
Vietnam,16,,,,15,,Asia
France,12,,1,,7,,Europe
U.A.E.,11,,,,3,1,Asia
Macao,10,,,,6,,Asia
Canada,9,,,,3,,N.America
U.K.,9,,,,8,,Europe
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Belgium,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Egypt,1,,,,1,,Africa
Finland,1,,,,1,,Europe
Israel,1,,,,,,Asia
Lebanon,1,,,,,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
