Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,78514,450,2747,32,32951,8346,Asia
S. Korea,1766,505,13,1,24,18,Asia
Diamond Princess,705,,4,,10,36,
Italy,528,58,14,2,3,35,Europe
Iran,245,106,26,7,25,,Asia
Japan,207,35,4,1,32,13,Asia
Singapore,93,,,,62,7,Asia
Hong Kong,92,3,2,,18,6,Asia
USA,60,,,,6,,N.America
Kuwait,43,17,,,,,Asia
Thailand,40,,,,22,2,Asia
Bahrain,33,,,,,,Asia
Taiwan,32,,1,,5,1,Asia
Germany,27,,,,15,2,Europe
Australia,23,,,,15,,Oceania
Malaysia,22,,,,20,,Asia
France,18,,2,,11,1,Europe
Vietnam,16,,,,16,,Asia
Spain,15,2,,,2,2,Europe
U.K.,15,2,,,8,,Europe
U.A.E.,13,,,,3,2,Asia
Canada,12,,,,3,,N.America
Macao,10,,,,6,,Asia
Iraq,6,1,,,,,Asia
Oman,4,,,,,,Asia
Switzerland,4,3,,,,,Europe
Philippines,3,,1,,2,,Asia
Austria,3,1,,,,,Europe
Croatia,3,,,,,,Europe
Greece,3,2,,,,,Europe
India,3,,,,3,,Asia
Israel,3,1,,,,,Asia
Finland,2,,,,1,,Europe
Lebanon,2,,,,,,Asia
Pakistan,2,,,,,,Asia
Russia,2,,,,2,,Europe
Sweden,2,,,,,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belgium,1,,,,1,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1,,Asia
Denmark,1,1,,,,,Europe
Egypt,1,,,,1,,Africa
Estonia,1,1,,,,,Europe
Georgia,1,,,,,,Asia
North Macedonia,1,,,,,,Europe
Nepal,1,,,,1,,Asia
Norway,1,,,,,,Europe
Romania,1,,,,,,Europe
Sri Lanka,1,,,,1,,Asia
