Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,72439,1891,1869,99,12948,11741,Asia
Diamond Princess,542,88,,,17,20,
Singapore,81,4,,,29,4,Asia
Japan,73,7,1,,20,19,Asia
Hong Kong,61,1,1,,2,7,Asia
Thailand,35,,,,17,2,Asia
S. Korea,31,1,,,12,,Asia
Taiwan,22,,1,,2,,Asia
Malaysia,22,,,,11,,Asia
Vietnam,16,,,,7,,Asia
Germany,16,,,,9,,Europe
USA,15,,,,3,,N.America
Australia,15,,,,10,,Oceania
France,12,,1,,5,,Europe
Macao,10,,,,5,,Asia
U.K.,9,,,,8,,Europe
U.A.E.,9,,,,3,1,Asia
Canada,8,,,,1,,N.America
Philippines,3,,1,,2,,Asia
Italy,3,,,,,2,Europe
India,3,,,,3,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Cambodia,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Nepal,1,,,,1,,Asia
Belgium,1,,,,1,,Europe
Sri Lanka,1,,,,1,,Asia
Finland,1,,,,1,,Europe
Egypt,1,,,,,,Africa
