Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,77666,7,2664,1,27808,9126,Asia
S. Korea,1146,313,11,3,22,6,Asia
Diamond Princess,691,,4,1,10,36,
Italy,323,94,11,4,2,19,Europe
Japan,161,2,1,,23,14,Asia
Iran,95,34,16,4,25,,Asia
Singapore,91,1,,,58,7,Asia
Hong Kong,85,4,2,,18,6,Asia
USA,57,4,,,6,,N.America
Thailand,37,2,,,22,2,Asia
Taiwan,31,1,1,,5,1,Asia
Bahrain,23,21,,,,,Asia
Australia,22,,,,15,,Oceania
Malaysia,22,,,,20,,Asia
Germany,18,2,,,15,1,Europe
Vietnam,16,,,,16,,Asia
France,14,2,1,,11,,Europe
U.K.,13,,,,8,,Europe
U.A.E.,13,,,,3,2,Asia
Canada,11,,,,3,,N.America
Kuwait,11,6,,,,,Asia
Macao,10,,,,5,,Asia
Spain,9,6,,,2,,Europe
Iraq,5,4,,,,,Asia
Oman,4,2,,,,,Asia
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Austria,2,2,,,,,Europe
Israel,2,,,,,,Asia
Russia,2,,,,2,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,1,,,,,Africa
Belgium,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Croatia,1,1,,,,,Europe
Egypt,1,,,,1,,Africa
Finland,1,,,,1,,Europe
Lebanon,1,,,,,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Switzerland,1,1,,,,,Europe
