Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,78073,415,2715,52,30049,8745,Asia
S. Korea,1261,284,12,1,24,18,Asia
Diamond Princess,705,14,4,,10,36,
Italy,383,60,12,1,3,35,Europe
Japan,172,11,2,1,23,13,Asia
Iran,139,44,19,3,25,,Asia
Singapore,93,2,,,62,7,Asia
Hong Kong,89,4,2,,18,6,Asia
USA,57,,,,6,,N.America
Thailand,40,3,,,22,2,Asia
Taiwan,32,1,1,,5,1,Asia
Bahrain,26,3,,,,,Asia
Kuwait,26,15,,,,,Asia
Australia,23,1,,,15,,Oceania
Malaysia,22,,,,20,,Asia
Germany,19,1,,,15,1,Europe
France,17,3,2,1,11,1,Europe
Vietnam,16,,,,16,,Asia
U.K.,13,,,,8,,Europe
U.A.E.,13,,,,3,2,Asia
Canada,12,1,,,3,,N.America
Spain,12,3,,,2,,Europe
Macao,10,,,,6,,Asia
Iraq,5,,,,,,Asia
Oman,4,,,,,,Asia
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Austria,2,,,,,,Europe
Croatia,2,1,,,,,Europe
Finland,2,1,,,1,,Europe
Israel,2,,,,,,Asia
Lebanon,2,1,,,,,Asia
Pakistan,2,2,,,,,Asia
Russia,2,,,,2,,Europe
Sweden,2,1,,,,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belgium,1,,,,1,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1,,Asia
Egypt,1,,,,1,,Africa
Greece,1,1,,,,,Europe
North Macedonia,1,1,,,,,Europe
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Switzerland,1,,,,,,Europe
