Country/ Other,Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,Serious/  Critical,Region
China,77345,409,2592,150,24827,11477,Asia
S. Korea,763,161,7,1,18,7,Asia
Diamond Princess,691,,3,,17,36,
Italy,157,,3,,2,26,Europe
Japan,146,,1,,23,7,Asia
Singapore,89,,,,51,5,Asia
Hong Kong,74,,2,,12,6,Asia
Iran,43,,8,,1,,Asia
Thailand,35,,,,21,2,Asia
USA,35,,,,7,,N.America
Taiwan,28,,1,,2,1,Asia
Australia,22,,,,11,,Oceania
Malaysia,22,,,,18,,Asia
Germany,16,,,,14,,Europe
Vietnam,16,,,,15,,Asia
U.K.,13,,,,8,,Europe
U.A.E.,13,,,,3,2,Asia
France,12,,1,,10,,Europe
Canada,10,,,,3,,N.America
Macao,10,,,,6,,Asia
Philippines,3,,1,,2,,Asia
India,3,,,,3,,Asia
Kuwait,3,3,,,,,Asia
Israel,2,,,,,,Asia
Russia,2,,,,2,,Europe
Spain,2,,,,2,,Europe
Bahrain,1,1,,,,,Asia
Belgium,1,,,,1,,Europe
Cambodia,1,,,,1,,Asia
Egypt,1,,,,1,,Africa
Finland,1,,,,1,,Europe
Lebanon,1,,,,,,Asia
Nepal,1,,,,1,,Asia
Sri Lanka,1,,,,1,,Asia
Sweden,1,,,,,,Europe
Iraq,1,,,,,,Asia
