Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,79826,575,2870,35,35131,41825,7365
S. Korea,3150,813,17,1,3109,24,10
Italy,1128,239,29,8,1049,50,105
Diamond Princess,705,,6,,689,10,36
Iran,593,205,43,9,427,123,
Japan,241,8,5,,204,32,20
Singapore,102,4,,,30,72,7
France,100,43,2,,86,12,8
Hong Kong,93,,2,,61,30,6
Germany,79,5,,,63,16,2
USA,68,5,1,1,60,7,1
Spain,58,25,,,56,2,2
Kuwait,45,,,,45,,
Thailand,42,1,,,14,28,2
Bahrain,41,3,,,41,,
Taiwan,39,5,1,,33,5,1
Australia,25,,,,10,15,
Malaysia,25,,,,5,20,
U.K.,23,3,,,15,8,
U.A.E.,21,2,,,16,5,2
Canada,20,5,,,16,4,
Switzerland,19,4,,,19,,
Vietnam,16,,,,0,16,
Norway,15,9,,,15,,
Iraq,13,5,,,13,,
Sweden,13,2,,,13,,
Austria,10,3,,,10,,
Macao,10,,,,4,6,
Greece,7,3,,,7,,
Israel,7,,,,6,1,
Lebanon,7,3,,,7,,
Netherlands,7,5,,,7,,
Croatia,6,1,,,6,,
Oman,6,,,,5,1,
Mexico,4,2,,,4,,
Pakistan,4,2,,,4,,
Philippines,3,,1,,0,2,
Denmark,3,1,,,3,,
Finland,3,,,,2,1,
Georgia,3,1,,,3,,
India,3,,,,0,3,
Romania,3,,,,2,1,
Brazil,2,1,,,2,,
Russia,2,,,,0,2,
Afghanistan,1,,,,1,,
Algeria,1,,,,1,,
Azerbaijan,1,,,,1,,
Belarus,1,,,,1,,
Belgium,1,,,,0,1,
Cambodia,1,,,,0,1,
Ecuador,1,1,,,1,,1
Egypt,1,,,,0,1,
Estonia,1,,,,1,,
Iceland,1,,,,1,,
Ireland,1,1,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,1,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Qatar,1,1,,,1,,
San Marino,1,,,,1,,1
Sri Lanka,1,,,,0,1,
