Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80026,202,2912,42,32313,44801,7110
S. Korea,4335,599,26,5,4279,30,27
Italy,1704,3,41,,1580,83,140
Iran,1501,523,66,12,1144,291,
Diamond Princess,705,,7,,598,100,36
Japan,274,18,6,,226,42,19
Germany,150,20,,,134,16,2
France,130,,2,,116,12,9
Spain,120,36,,,118,2,3
Singapore,108,2,,,30,78,6
Hong Kong,100,,2,,62,36,6
USA,88,13,2,1,77,9,8
Kuwait,56,10,,,56,,
Bahrain,47,,,,47,,
Thailand,43,1,1,,12,30,1
Taiwan,41,1,1,,28,12,1
U.K.,40,4,,,32,8,
Australia,33,4,1,,17,15,1
Malaysia,29,,,,7,22,
Canada,24,,,,20,4,
Switzerland,24,,,,23,1,
Iraq,21,2,,,21,,
U.A.E.,21,,,,16,5,2
Norway,19,,,,19,,
Netherlands,18,8,,,18,,1
Austria,16,2,,,16,,
Vietnam,16,,,,0,16,
Sweden,14,,,,14,,
Lebanon,13,3,,,13,,
Macao,10,,,,4,6,
Israel,10,,,,9,1,
San Marino,8,,1,,7,,1
Belgium,8,6,,,7,1,
Croatia,8,1,,,8,,
Greece,7,,,,7,,
Qatar,7,4,,,7,,
Ecuador,6,,,,6,,1
Finland,6,,,,5,1,
Oman,6,,,,4,2,
India,5,2,,,2,3,
Mexico,5,,,,5,,
Denmark,4,,,,4,,
Pakistan,4,,,,4,,
Philippines,3,,1,,0,2,
Algeria,3,,,,3,,
Azerbaijan,3,,,,3,,
Czechia,3,,,,3,,
Georgia,3,,,,3,,
Iceland,3,,,,3,,
Romania,3,,,,2,1,
Russia,3,1,,,1,2,
Brazil,2,,,,2,,
Egypt,2,,,,1,1,
Indonesia,2,2,,,2,,
Portugal,2,2,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,1,,,1,,
Armenia,1,,,,1,,
Belarus,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Estonia,1,,,,1,,
Ireland,1,,,,1,,
Jordan,1,1,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,1,,,1,,
