Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,79827,576,2870,35,35132,41825,7365
S. Korea,3526,376,17,,3479,30,10
Italy,1128,,29,,1049,50,105
Diamond Princess,705,,6,,689,10,36
Iran,593,,43,,427,123,
Japan,241,,6,1,203,32,19
Singapore,102,,,,30,72,7
France,100,,2,,86,12,8
Hong Kong,95,,2,,63,30,6
Germany,79,,,,63,16,2
USA,69,1,1,,61,7,1
Spain,58,,,,56,2,2
Kuwait,45,,,,45,,
Thailand,42,,,,14,28,2
Bahrain,41,,,,41,,
Taiwan,39,,1,,33,5,1
Australia,25,,1,1,9,15,
Malaysia,25,,,,3,22,
U.K.,23,,,,15,8,
U.A.E.,21,,,,16,5,2
Canada,20,,,,16,4,
Switzerland,19,,,,19,,
Vietnam,16,,,,0,16,
Norway,15,,,,15,,
Iraq,13,,,,13,,
Sweden,13,,,,13,,
Austria,10,,,,10,,
Macao,10,,,,4,6,
Greece,7,,,,7,,
Israel,7,,,,6,1,
Lebanon,7,,,,7,,
Netherlands,7,,,,7,,
Croatia,6,,,,6,,
Oman,6,,,,5,1,
Mexico,4,,,,4,,
Pakistan,4,,,,4,,
Philippines,3,,1,,0,2,
Azerbaijan,3,,,,3,,
Denmark,3,,,,3,,
Finland,3,,,,2,1,
Georgia,3,,,,3,,
India,3,,,,0,3,
Romania,3,,,,2,1,
Brazil,2,,,,2,,
Russia,2,,,,0,2,
Afghanistan,1,,,,1,,
Algeria,1,,,,1,,
Belarus,1,,,,1,,
Belgium,1,,,,0,1,
Cambodia,1,,,,0,1,
Ecuador,1,,,,1,,1
Egypt,1,,,,0,1,
Estonia,1,,,,1,,
Iceland,1,,,,1,,
Ireland,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
New Zealand,1,,,,1,,
Nigeria,1,,,,1,,
Qatar,1,,,,1,,
San Marino,1,,,,1,,1
Sri Lanka,1,,,,0,1,
